City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
325,Catio,GW,11.2833,-15.25,77.22,87,97,5.97,overcast clouds
326,Irtyshskiy,RU,58.3333,68.1333,50.11,87,43,5.32,scattered clouds
327,Denpasar,ID,-8.65,115.2167,76.71,78,40,10.36,scattered clouds
328,Kaeo,NZ,-35.1,173.7833,58.32,91,100,19.55,light rain
329,Bethanien,NA,-26.502,17.1583,48.76,67,0,3.15,clear sky
330,Matay,EG,28.419,30.7792,79.48,44,0,12.75,clear sky
331,Manokwari,ID,-0.8667,134.0833,81.0,74,87,4.56,overcast clouds
332,Imbituba,BR,-28.24,-48.6703,64.09,99,31,5.01,scattered clouds
333,Negara,ID,-8.3151,114.6025,74.7,73,81,8.5,broken clouds
334,Fort Nelson,CA,58.8053,-122.7002,69.39,52,75,5.75,light intensity shower rain
335,Sitrah,BH,26.1547,50.6206,97.36,47,0,4.61,clear sky
336,Padang,ID,-0.9492,100.3543,77.76,84,100,4.16,overcast clouds
337,Belyy Yar,RU,53.6039,91.3903,57.09,90,0,4.47,clear sky
338,Haines Junction,CA,60.7522,-137.5108,61.99,39,65,7.29,broken clouds
339,Taltal,CL,-25.4,-70.4833,56.8,86,34,3.31,scattered clouds
340,Meiganga,CM,6.5167,14.3,64.36,97,100,1.48,overcast clouds
341,Grand Gaube,MU,-20.0064,57.6608,67.37,75,66,3.0,broken clouds
342,Cidreira,BR,-30.1811,-50.2056,62.15,98,71,10.2,broken clouds
